,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,630026,Air Force Station Jalahalli,AIR FORCE STATION JALAHALLI WEST SUBRATO MUKHERJEE ROAD BANGALORE,Karnataka,Bangalore Urban,Bengaluru North,560015,13,77,09:00:00,16:30:00,Free,"[{'session_id': '4e470504-a85a-4204-9688-5aaf2541b0ca', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 16:38:34.170356
1,631424,GH. K R Puram COVAXIN,Hosakote Main Road,Karnataka,Bangalore Urban,Bengaluru East,560036,13,77,09:00:00,13:30:00,Free,"[{'session_id': '7d5abf29-3e5a-4792-bb02-48be77e2ac9f', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:30PM']}]",2021-05-08 16:38:34.170356
2,679944,MAKALI SUB CENTER,MAKALI SC HAROKYETHANAHALLI VILLAGE,Karnataka,Bangalore Urban,Bengaluru North,562162,13,77,10:00:00,16:00:00,Free,"[{'session_id': 'f78b3bb0-1527-45d4-bc8e-07b77a552235', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-08 16:38:34.170356
3,249084,Rajanukunte PHC,Doddaballapur Main Road,Karnataka,Bangalore Urban,Bengaluru North,560064,13,77,10:00:00,13:00:00,Free,"[{'session_id': 'fc816ff1-7818-42b4-8171-05ebe082389f', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}, {'session_id': '2de78bc9-f2f8-4b8d-9bde-45a7c6a5a586', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}, {'session_id': 'db9755fa-40b4-476a-902f-a011096cd19d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-08 16:38:34.170356
4,632866,INST OF AEROSPACE MEDICINE,"STATION MEDICARE CENTRE, GAGAN VIHAR CAMP, WIND TUNNEL ROAD, KR GARDEN",Karnataka,Bangalore Urban,Bengaluru North,560017,12,77,10:00:00,13:00:00,Free,"[{'session_id': 'eaa80327-39d9-46ae-aac6-fab381a8954c', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-08 16:38:34.170356
5,573111,Makali PHC 1,Alur Main Road,Karnataka,Bangalore Urban,Bengaluru North,562162,13,77,10:00:00,13:00:00,Free,"[{'session_id': '8cb1b092-c169-4525-981a-12df46e1b09e', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}, {'session_id': '982e22de-e8f5-49c2-8c90-592688353dce', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}, {'session_id': '7d0e5c32-2258-4c9d-b569-2c560c0557d1', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-08 16:38:34.170356
6,630049,HEADQUARTER TRAINING COMMAND,HEADQUARTER TRAINING COMMAND JC BAGAR POST HEBBAL BANGALORE,Karnataka,Bangalore Urban,Bengaluru North,560032,12,77,10:00:00,16:00:00,Free,"[{'session_id': '7a3d608a-3ecc-4e5d-a3ac-091fabc74ecc', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-08 16:38:34.170356
7,662656,Tippur Subcentre. K Gollahalli,Devagre Road Tegachguppe Vilage,Karnataka,Bangalore Urban,Bengaluru South,560074,12,77,10:00:00,13:00:00,Free,"[{'session_id': '0dd49fab-8f02-482d-89df-0f1d8eaaffcb', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-08 16:38:34.170356
8,694749,STS-II BSF HOSPTAL YELAHANKA,Border Security Force PO-AFS Yelahanka,Karnataka,Bangalore Urban,Bengaluru East,560063,13,77,09:00:00,16:30:00,Free,"[{'session_id': 'db8ed6cd-1a6a-43c6-92d5-70192a7b101c', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 16:38:34.170356
9,694475,Kaggalipura CHC Covaxin,Kanakapura Main Road,Karnataka,Bangalore Urban,Bengaluru South,560116,12,77,10:00:00,16:00:00,Free,"[{'session_id': '43e19f7f-7c88-49c6-bb86-81659524c8a1', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-08 16:38:34.170356
