<<<<<<< HEAD
0,576080,Moyad Health Facility,Moyad,Gujarat,Sabarkantha,Prantij,383120,23,72,09:00:00,18:00:00,Free,"[{'session_id': '1b79b119-b60a-48cb-b263-8e621533a4d4', 'date': '08-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'fa7527a6-969a-42e5-92b0-88d4c60f16a4', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '4c05ecf3-f357-4403-a7b2-654de6b8509b', 'date': '10-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 13:48:57.791760
1,419783,Salatpur Sub Center,Patel Faliyu Salatpur Sub Center,Gujarat,Sabarkantha,Talod,383215,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'ecb54244-1310-4ff9-a77d-bf49bec5f252', 'date': '08-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'f866c8b4-01a5-4019-8f9c-89b9a453abec', 'date': '08-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 13:48:57.791760
2,570371,Derol HMT Health Facility,Derol,Gujarat,Sabarkantha,Himmatnagar,383220,23,72,09:00:00,18:00:00,Free,"[{'session_id': '8aa83da1-9e3f-44d1-b635-b433eb539a13', 'date': '08-05-2021', 'available_capacity': 98, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 13:48:57.791760
3,575879,Sarsav Health Facility,Sarsav,Gujarat,Sabarkantha,Vijaynagar,383460,24,73,09:00:00,17:00:00,Free,"[{'session_id': '0b118828-1d67-4f5d-a370-2747063a970d', 'date': '08-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-08 13:48:57.791760
4,560263,Talod CHC Health Facility,Talod CHC,Gujarat,Sabarkantha,Talod,383215,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'c9c9b03c-7727-4c28-98bb-e4938756611f', 'date': '08-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '5ae01b57-f135-4735-a8ac-5eacc635a4b4', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '870a12f6-3375-438d-9bdd-148374da2705', 'date': '10-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '9ab24048-7567-4514-9086-3023684683f4', 'date': '11-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '47c67dc7-ff04-4f7d-a553-79bae6721337', 'date': '12-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '1d19305a-1e57-492e-b417-d3a2535d1041', 'date': '13-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '2a35f2cd-6b45-4428-aff7-364306e9ea89', 'date': '14-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 13:48:57.791760
5,419781,Ranipura Sub Center,Parmar Vas Ranipura Sub Center,Gujarat,Sabarkantha,Talod,383307,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'a86c1d02-e12e-4b60-92d7-44de077774c8', 'date': '08-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '0e4306f6-2f39-4051-8d36-5180237f211c', 'date': '08-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 13:48:57.791760
6,636555,Dalpur Sub Center,Katvad Prantij,Gujarat,Sabarkantha,Prantij,383120,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'a62df7a3-b615-4ad8-b873-d17566c7d1f6', 'date': '08-05-2021', 'available_capacity': 49, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 13:48:57.791760
7,576300,Antarsumba Health Facility,Antarsumba Vijaynagar,Gujarat,Sabarkantha,Vijaynagar,383460,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'b2d86f15-f2e2-48ba-bd0d-f9343d19500d', 'date': '08-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '40871c21-cc83-44a3-bf85-35740f23b070', 'date': '08-05-2021', 'available_capacity': 49, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 13:48:57.791760
8,603937,PHC Lambadiya,At Tebda Ta Poshina,Gujarat,Sabarkantha,Poshina,383270,24,73,09:00:00,18:00:00,Free,"[{'session_id': '4c1a75e6-5c79-489e-b440-7d9e40f46096', 'date': '08-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f7358a8-4c85-4564-bf74-0f8f85a6136a', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'd37e4a33-6f90-41c9-9afe-a24f0c41e228', 'date': '10-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '21b908d1-9883-4347-8da9-547906b1ee99', 'date': '11-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 13:48:57.791760
9,641578,Hadmatiya Sub Center,Hadamtiya Prantij,Gujarat,Sabarkantha,Prantij,383210,23,73,09:00:00,18:00:00,Free,"[{'session_id': '44227981-5749-4183-aec2-3827b87c294a', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 13:48:57.791760
