0,606775,BANKOI HOSPITAL CVC,BANKOI HOSPITAL,Odisha,Khurda,Bankoi,752066,20,85,09:00:00,18:00:00,Free,"[{'session_id': 'fa50a11e-d6d1-49dd-976e-f13717594a13', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
1,669726,SHREE USHA DIAGNOSTICS CENTRE,"TANKAPANIROAD, BHUBANESWAR",Odisha,Khurda,Bhubaneswar MC,751014,20,85,09:00:00,18:00:00,Paid,"[{'session_id': 'ed6956c5-1337-4606-bb7f-c806173ab089', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '0a5d869e-d314-4b71-b015-64b410aa31d6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '6f61f09c-3362-4ee6-b77d-dbcb55d0277a', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '997f2c46-90d2-4a06-9efd-997929ca7288', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '080b0136-deb3-4fd7-89ae-4cbee65047f9', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': '06b7bb32-c9a9-4214-9760-41bfc1d59346', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'a202dbc1-8ba9-47e0-a8b4-a06ae32eb1c0', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
2,612615,CHANDAKA HOSPITAL CVC,Chandaka,Odisha,Khurda,Mendhasal,752054,20,85,09:00:00,18:00:00,Free,"[{'session_id': 'd009ad6a-e1d3-481c-a35c-024afb16e808', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
3,612890,NILADRIPRASAD HOSPITAL CVC,Niladriprasad,Odisha,Khurda,Banapur,752035,19,85,09:00:00,18:00:00,Free,"[{'session_id': '75bafaa2-6147-4923-bf84-a35c390bb797', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'fa8d3b0b-18ea-4169-9b87-2155c22d4292', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
4,545498,OLASINGH AREA HOSPITAL CVC,OLASINGH AREA HOSPITAL,Odisha,Khurda,Tangi,752020,20,85,09:00:00,18:00:00,Free,"[{'session_id': 'f85f2ac9-81b4-4e3a-8fff-dee0042100ff', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}, {'session_id': 'd7b1939b-e171-4151-980f-b1613a1a7632', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
5,624541,Sunshine Hospital Bhubaneswar,Laxmi Sagar Square Cuttack Puri Road Bhubaneswar,Odisha,Khurda,Bhubaneswar MC,751006,0,0,09:00:00,18:00:00,Paid,"[{'session_id': 'bee2e1c6-4693-4184-a987-0de6cfd2a2be', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
6,644714,UPHC GGP Rasulgarh Bhubaneswar,GGP Rasulgarh,Odisha,Khurda,Bhubaneswar MC,751010,20,85,15:00:00,18:00:00,Free,"[{'session_id': '430d8140-2f74-4eb0-86b3-ad4b383b20d9', 'date': '08-05-2021', 'available_capacity': 1, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['03:00PM-05:00PM', '05:00PM-06:00PM']}, {'session_id': '89d97bdf-d312-4a33-a59a-a854d3dc130a', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['03:00PM-05:00PM', '05:00PM-06:00PM']}, {'session_id': '1a45861b-5363-42da-8872-a3735bf0d02e', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['03:00PM-05:00PM', '05:00PM-06:00PM']}, {'session_id': 'bbc37092-aaa7-40a3-8769-e0222c028049', 'date': '12-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['03:00PM-05:00PM', '05:00PM-06:00PM']}, {'session_id': '14d946a8-da51-4c31-959e-28599c1182cc', 'date': '13-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['03:00PM-05:00PM', '05:00PM-06:00PM']}, {'session_id': 'c3029cea-31e3-42c2-815c-f864e2125b07', 'date': '14-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['03:00PM-05:00PM', '05:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
7,545487,BALIPATNA HOSPITAL CVC,BALIPATNA HOSPITAL,Odisha,Khurda,Balipatna,752102,20,85,09:00:00,18:00:00,Free,"[{'session_id': '84528e2b-3f4a-4b6a-a155-44f61f879f4f', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
8,612856,SUNAKHALA HOSPITAL CVC,Sunakhala,Odisha,Khurda,Banapur,752034,0,0,09:00:00,18:00:00,Free,"[{'session_id': 'cc42f345-cf4f-4e2d-b63a-38cc38fb10b0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
9,612756,PICHUKULI HOSPITAL CVC,PICHUKULI,Odisha,Khurda,Bankoi,752064,20,85,09:00:00,18:00:00,Free,"[{'session_id': '0641ef16-b6c1-4522-92fc-0baa44140678', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 16:45:27.780537
